Offense ID,MCPP,Longitude,Latitude,Crime Against Category,Offense Parent Group,Offense
12597686723,PIONEER SQUARE,-122.33287520200001,47.60130116,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence
12597655747,BALLARD SOUTH,-122.362187009,47.67599329,PROPERTY,ROBBERY,Robbery
12597590413,DOWNTOWN COMMERCIAL,-122.33501787600001,47.61090902,PROPERTY,LARCENY-THEFT,Shoplifting
12597533695,FIRST HILL,-122.316125608,47.60620026,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery
12597448264,MID BEACON HILL,-122.30990212,47.54993361,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12597396250,DOWNTOWN COMMERCIAL,-122.337591975,47.61120737,PROPERTY,LARCENY-THEFT,All Other Larceny
12597243974,MOUNT BAKER,-122.289921964,47.56888116,PROPERTY,ROBBERY,Robbery
12597201885,QUEEN ANNE,-122.350171096,47.62586184,PROPERTY,FRAUD OFFENSES,Wire Fraud
12597205596,NORTH DELRIDGE,-122.366755447,47.56834147,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12597154700,BELLTOWN,-122.344793514,47.61470458,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations
12597101400,DOWNTOWN COMMERCIAL,-122.339812453,47.61027832,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence
12597084007,JUDKINS PARK/NORTH BEACON HILL,-122.31678189799999,47.60169337,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12596976154,BRIGHTON/DUNLAP,-122.275965432,47.5406801,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories
12596997881,PHINNEY RIDGE,-122.348475299,47.67495519,PROPERTY,LARCENY-THEFT,All Other Larceny
12596956263,BELLTOWN,-122.34456269399999,47.61222186,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596836966,CAPITOL HILL,-122.32040741700001,47.61523808,PROPERTY,LARCENY-THEFT,Theft From Building
12596745440,NORTH ADMIRAL,-122.385670692,47.57259101,PROPERTY,FRAUD OFFENSES,Identity Theft
12596743017,SLU/CASCADE,-122.336490221,47.62320194,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12596618423,CAPITOL HILL,-122.320771381,47.61351951,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12596521277,UNIVERSITY,-122.319560828,47.66222203,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12596463510,FREMONT,-122.362343206,47.65649926,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12596446845,JUDKINS PARK/NORTH BEACON HILL,-122.30966889,47.59515308,PROPERTY,FRAUD OFFENSES,Hacking/Computer Invasion
12596434144,NORTH BEACON HILL,-122.306707069,47.57742324,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596397510,SLU/CASCADE,-122.32888058,47.6303008,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596366956,MAGNOLIA,-122.39489671700001,47.65135709,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596353107,BITTERLAKE,-122.353031629,47.73322211,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories
12596315052,MAGNOLIA,-122.400349386,47.65977588,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596320973,CHINATOWN/INTERNATIONAL DISTRICT,-122.319220391,47.59626534,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations
12596335242,GREENWOOD,-122.359314737,47.69061787,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596225215,MILLER PARK,-122.302490423,47.62079119,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596251988,CAPITOL HILL,-122.32500074200001,47.61522188,PROPERTY,LARCENY-THEFT,Theft From Building
12596171290,UNIVERSITY,-122.315461665,47.66055372,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596065177,FREMONT,-122.35448367,47.65046915,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596090177,LAKEWOOD/SEWARD PARK,-122.26699284799999,47.55409938,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12596046473,BELLTOWN,-122.34435339299999,47.61327122,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud
12596045977,GEORGETOWN,-122.325621124,47.55169177,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596045722,BALLARD SOUTH,-122.387584729,47.6759485,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596032054,BALLARD SOUTH,-122.382134597,47.66426055,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596031121,JUDKINS PARK/NORTH BEACON HILL,-122.305347166,47.59999561,PROPERTY,LARCENY-THEFT,All Other Larceny
12596048078,MOUNT BAKER,-122.29649406200001,47.576184600000005,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12596018071,UNIVERSITY,-122.31370774700001,47.66127317,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596017730,DOWNTOWN COMMERCIAL,-122.338449515,47.60878866,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596021457,CHINATOWN/INTERNATIONAL DISTRICT,-122.32473878799999,47.59583483,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12596005191,FREMONT,-122.353980639,47.6621407,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12596006375,UNIVERSITY,-122.31422406,47.66400406,PROPERTY,LARCENY-THEFT,Shoplifting
